,Income,Kidhome,Teenhome,Dt_Customer,NumWebVisitsMonth,ID
0,82407,0,1,2013-10-07 00:00:00,29,ef81336c-e41a-46d0-8a30-5d4ac3b836be
1,24877,0,0,2013-04-21 00:00:00,32,50b224ac-84b4-42a7-aba9-3e1d1d620479
2,78839,1,0,2013-11-25 00:00:00,21,9cb15c53-b647-464a-add9-09cdae04897c
3,113859,1,1,2013-01-06 00:00:00,12,f8aaf334-949d-4943-a214-b64fe9c088b4
4,147317,0,0,2013-07-10 00:00:00,14,885fe85a-3718-4760-a32a-a57628cf7528
5,99034,1,2,2013-05-10 00:00:00,9,270bcba2-2c09-42a8-ad3e-f40035969394
6,51262,2,1,2013-07-04 00:00:00,7,103ab480-e33c-459b-893c-b1666dc68bfe
7,50926,2,1,2013-02-28 00:00:00,27,3b2aa797-4a36-4fe8-89d4-bfe8f51a8336
8,99372,1,1,2013-08-17 00:00:00,6,7731b479-e3ab-4b56-8b1f-338a20502f34
9,54827,1,2,2013-02-16 00:00:00,14,3a0af125-f706-44dc-a554-dde13c6814dc
10,169825,2,2,2013-01-01 00:00:00,10,9df0599f-1bc9-4772-9289-b6f9a8178714
11,44601,0,1,2013-05-31 00:00:00,19,3ede3451-e80c-4050-8483-55b26960bddb
12,180146,1,1,2013-11-24 00:00:00,22,d225709f-89e6-4d70-8884-d8800ad92637
13,106103,0,2,2013-10-07 00:00:00,22,164a5694-1959-4c59-999f-d7ba9ea52902
14,72279,2,0,2013-01-29 00:00:00,6,d28a0de4-f1bb-44f0-9688-02ad3f7875aa
15,169898,2,2,2013-05-30 00:00:00,8,ee41f6f9-a3eb-455c-a8da-04940cf18bed
16,63533,1,0,2013-02-09 00:00:00,12,342449f8-5f15-47ef-ae22-33660b252558
17,167145,1,0,2013-07-19 00:00:00,11,c6afed91-c54a-4ba1-9359-f85239ff1ac3
18,161819,0,1,2013-07-31 00:00:00,23,a4ad8f55-8fe4-4fe6-854c-098aac84ec35
19,165414,0,1,2013-07-18 00:00:00,23,58eab059-7e88-4aa5-acc0-faf131a401d7
20,58756,2,2,2013-04-14 00:00:00,5,a0611884-64c0-43e6-8688-6d401bc65563
21,111077,1,1,2013-06-11 00:00:00,2,1e5caf91-68cf-4e42-b309-9d990bc8afe4
22,35680,0,1,2013-04-28 00:00:00,19,b2538d03-ef7d-44a3-bd48-95b24a704f7c
23,85737,2,1,2013-03-23 00:00:00,11,0a079544-2bfd-41f8-99cd-52828ff82ba8
24,37308,0,1,2013-07-20 00:00:00,19,774e4ee7-9419-4c6c-adc2-b0b41fa075db
25,168748,2,0,2013-08-31 00:00:00,8,56311bf6-a743-436b-8afa-ad332ffc9921
26,109100,1,2,2013-10-27 00:00:00,29,34c7fef5-0b32-403d-a69b-1523c0e018ff
27,139629,2,1,2013-04-11 00:00:00,22,c9846c93-7d51-43af-805b-d22811acc9b2
28,82889,2,0,2013-12-12 00:00:00,6,906e1da0-9679-408f-80e2-6e90aa9bbbc4
29,165576,2,2,2013-04-13 00:00:00,30,fc055f50-7402-4648-86b2-5ddcca06e266
30,76995,2,1,2013-03-11 00:00:00,5,c865d2cb-5f80-4ec2-b5c9-d322f3142ff3
31,19285,0,1,2013-07-02 00:00:00,6,4bae133f-3b2a-48ac-9f1d-51142c565209
32,128610,0,0,2013-01-25 00:00:00,4,d1a8e38a-bf81-4912-bc80-74f5aca1c927
