,Income,Kidhome,Teenhome,Dt_Customer,NumWebVisitsMonth,ID
0,168812,1,1,2014-06-10 0:00:00,27,4d6c811c-0f24-4a73-b374-2ebd1f80d46e
1,108615,2,1,2014-04-05 0:00:00,24,eef0f24f-cbdb-4c67-b371-09d7bc59695e
2,179041,0,2,2014-09-22 0:00:00,4,bbfdcedd-199d-4927-94bb-5dad051ff471
3,116639,2,2,2014-08-16 0:00:00,3,e8ebb67d-4ee1-4615-b701-eefe3af607eb
4,49537,0,1,2014-09-05 0:00:00,28,f7f79ace-0024-4505-a401-f340946f0942
5,103185,1,0,2014-01-30 0:00:00,4,e8b3bb16-3ccc-4915-b6ba-47bb369580e0
6,48586,1,2,2014-11-10 0:00:00,17,c44af86f-ee10-443d-98ac-e4433a56809d
7,19281,1,2,2014-12-12 0:00:00,12,99c06680-56e7-4fb4-b48e-a0d337436915
8,93359,1,1,2014-04-16 0:00:00,20,63fb1369-ff86-4a22-a492-c8dcaa6c0860
9,145882,2,0,2014-11-16 0:00:00,6,b0daf05c-7dfc-4d42-9143-f96140b07dbb
10,147006,2,2,2014-11-14 0:00:00,5,056a5314-a67e-4ff0-964f-256ccdbf10b6
11,173122,2,1,2014-07-12 0:00:00,10,11170eb7-770c-49a5-a88d-7f6eff4ce4f3
12,114021,1,0,2014-11-10 0:00:00,6,80385078-f477-4a7f-8027-f047ef214f8c
13,161579,0,2,2014-12-01 0:00:00,19,dff91a78-ff53-4891-b05a-29d0a7607ad9
14,38966,2,0,2014-02-13 0:00:00,6,6a9fd201-56a2-4c1c-8535-1cbca79b9026
15,176697,2,0,2014-04-17 0:00:00,1,7b5ff06f-f7a5-416a-876b-57318494d307
16,173442,0,2,2014-09-24 0:00:00,15,24ed3346-451b-49eb-9498-bf43c3a3e6e2
17,26883,1,0,2014-01-25 0:00:00,3,f5526f4a-e0e3-4b7d-af4f-a115257b5fa6
18,14542,1,1,2014-07-23 0:00:00,25,144ca9f3-92ca-4db0-a13d-5136662ecc7f
19,27663,0,0,2014-11-08 0:00:00,3,8b1c3483-9c58-4bf0-a51b-4e76f0f489bb
20,16496,2,1,2014-05-23 0:00:00,22,28610bab-a1f8-46d4-871b-0fd60bed278e
21,149992,0,1,2014-05-05 0:00:00,28,76dccff3-cf04-49b8-abfe-32f2c3590d8a
22,140684,2,1,2014-06-10 0:00:00,6,b5fc676e-499a-4b64-bb26-b771d299be54
23,7710,2,1,2014-06-21 0:00:00,24,aa671710-c8f7-4370-b835-b74a43fed1de
24,89927,2,1,2014-07-30 0:00:00,7,c068afbb-8294-4248-9f92-fbc609468897
25,51319,2,1,2014-03-30 0:00:00,25,861c08ac-d018-423a-b96d-085804c452fc
26,84393,1,2,2014-07-13 0:00:00,28,f6bf82ea-7f4d-46ff-86f3-95a1875200a4
27,93523,2,2,2014-03-30 0:00:00,14,8724fe01-40dc-4aab-baee-14d8f69f2420
28,80979,1,1,2014-06-19 0:00:00,18,eed000b5-ffca-47e6-8d49-eb92a689cc42
29,121198,1,2,2014-01-23 0:00:00,21,b135bdf5-d527-49e5-8dba-113918bf47fb
30,32911,2,2,2014-05-03 0:00:00,21,e501a2ea-19ae-4a04-8255-1db93b78fa71
31,86440,2,1,2014-10-18 0:00:00,4,6d00a68e-717e-4407-a5e1-56894cf84ce3
32,23754,1,0,2014-01-18 0:00:00,11,7fd61b75-8b8b-4d72-aebd-89676d181e52
33,49918,0,0,2014-06-22 0:00:00,29,f6b35996-5eb0-47f9-8722-402c3c197571
34,159637,0,0,2014-12-19 0:00:00,27,ca4f448b-2c3a-4970-9f66-7d1a875ea594
35,55971,2,0,2014-05-06 0:00:00,16,e80f8575-ac96-409f-98df-e32154ddf22f
36,108255,2,0,2014-05-09 0:00:00,8,7fffb161-7273-4575-913b-abbafc6bbe30
37,115765,2,1,2014-02-16 0:00:00,16,7980ce45-ecff-4cf3-99b5-9195d3eab4ce
38,43600,2,1,2014-09-12 0:00:00,31,6b64bee4-40e8-4c3a-a782-643fc397131e
39,31564,0,2,2014-01-25 0:00:00,19,29c579ca-0285-4c71-8abf-5aeb554e6ac7
40,52260,1,1,2014-11-20 0:00:00,23,68331a02-9753-4f57-9a55-11a899deb4d3
41,84864,0,1,2014-04-18 0:00:00,18,43ce0e6e-8de1-4136-86dd-d8da58cadc13
42,39546,2,2,2014-10-06 0:00:00,10,1a80cee2-a395-4b11-b628-95c801a5c85c
43,149232,2,1,2014-09-17 0:00:00,23,641f0ce3-568c-4c6c-a271-cb0a62b48a62
44,116367,2,2,2014-09-13 0:00:00,30,dbc0e537-f06a-40a2-a044-1cb7bb092da4
45,28061,2,1,2014-08-09 0:00:00,24,e7ff891b-de03-407f-9eaa-9ee0adf524da
46,125140,2,1,2014-08-22 0:00:00,3,9b9d3fad-4b2b-4635-b87e-2ef00f5274ff
47,55542,2,0,2014-11-28 0:00:00,9,845d8358-c3e9-4e8c-9284-2dbf3c7ac771
48,76860,1,1,2014-05-14 0:00:00,22,7d72337a-49e5-4b5c-b60f-1a109901fb33
49,179429,2,0,2014-04-24 0:00:00,21,e8f7f50b-d4c7-484c-82b4-b6f9e30a9259
50,67931,0,0,2014-01-28 0:00:00,20,03f530fc-dede-47d7-9b61-e9059a30e5ea
51,46249,2,0,2014-01-29 0:00:00,22,80654a42-bcb8-4b62-8a58-c089d756c4c7
52,173858,2,0,2014-01-28 0:00:00,1,1798e8d6-00e6-42ed-bd2d-0c7936cc76d0
53,149895,0,1,2014-07-10 0:00:00,15,49b6bc99-2e06-4af0-919f-459c0a395e35
54,13390,1,1,2014-07-22 0:00:00,32,09cf656b-8aae-4613-be59-55935f39ce6a
55,65683,0,1,2014-08-10 0:00:00,13,f1c7bdd9-82ea-4576-a539-d9e5073154c6
56,132449,0,2,2014-12-19 0:00:00,10,220c449d-d7a7-466d-a0cb-01b39fd4f3c7
57,91570,2,1,2014-04-13 0:00:00,31,3341b107-9f1d-40d3-a4e4-66d720cb099a
58,149642,2,2,2014-06-14 0:00:00,25,119a9381-afd1-4800-8d3b-719eb6ff32cb
59,34904,0,1,2014-01-07 0:00:00,10,a77eda25-8612-4377-98e1-286b4290a66b
60,64709,1,1,2014-06-16 0:00:00,19,2db1db52-d2b4-43c2-b1df-676482c9e20d
61,64832,0,0,2014-06-05 0:00:00,9,539eb2bc-c5ca-42a5-9399-80c647ddbd20
62,72805,0,1,2014-03-02 0:00:00,1,0c324351-6d15-47c1-8f63-9bb94e4e2082
63,115734,2,0,2014-10-28 0:00:00,3,6a1e09a5-7cba-4e80-9507-61685699bff7
64,71808,2,2,2014-09-05 0:00:00,2,8d0cae0b-f27e-44cc-8df8-5e828f31b37b
65,174377,2,1,2014-05-30 0:00:00,3,8c6b7f36-8c8c-4f30-ba22-89ff08bdbdfe
66,77455,1,0,2014-10-14 0:00:00,22,c24af274-3269-4069-adbf-5a7f930245c7
67,89052,2,2,2014-08-22 0:00:00,20,556d6210-4b12-4151-a58d-4596dc5c04f5
68,34448,1,1,2014-02-11 0:00:00,25,1601e728-bcdd-49ed-bd14-bfbd71f1e747
69,173026,2,0,2014-11-08 0:00:00,13,d9e2e54b-7c28-4999-9d16-0cd278917c3c
70,158244,0,2,2014-10-04 0:00:00,30,9d59d28d-9bfa-49b5-9143-41089a7bada2
71,105405,1,0,2014-10-26 0:00:00,3,38ff36c1-55a6-4660-a0e8-6ccbfbda607f
72,78103,2,1,2014-05-20 0:00:00,12,f500d627-0c82-46db-b987-f49f6c5886f3
73,179566,0,1,2014-03-07 0:00:00,17,5d996407-bf58-4f5b-9e7e-a7328fb824cf
74,143693,0,2,2014-06-01 0:00:00,11,39b3e90b-5292-43d3-8d40-28d61aa18310
75,78108,0,2,2014-08-20 0:00:00,32,6ae5b6a7-ae5c-4712-ab38-606c6c757296
76,168792,0,0,2014-05-24 0:00:00,27,72e2d01b-6abe-4db8-8783-ab1c4a1c0340
77,71595,2,0,2014-04-02 0:00:00,26,a71a1fce-46e0-410b-a848-691234b8e79b
78,141612,1,1,2014-02-26 0:00:00,10,91c8e38a-c51c-4cd3-9488-239e2a9cfc6c
79,161691,1,0,2014-12-23 0:00:00,26,3ecf28b4-5650-46af-83f5-db455345124a
80,158465,0,2,2014-04-27 0:00:00,25,29cd3faa-e5a0-4da2-86d2-5c6202383a0d
81,101681,2,0,2014-08-19 0:00:00,3,4de95425-219f-46f9-b575-05c20ba2d0a4
82,148505,0,1,2014-10-21 0:00:00,1,362935eb-abf4-414b-b4bd-3dbb59c08fe2
83,161649,0,1,2014-09-03 0:00:00,25,a619b5b2-9f67-4edb-a3ad-7cf2f7b99aa7
84,138059,1,0,2014-11-12 0:00:00,2,eda8cc94-2575-4c30-aec2-268a99a43167
85,172698,2,2,2014-04-07 0:00:00,19,c762aab0-41bd-4a02-97ec-8e4bf7cddd44
86,101434,0,1,2014-05-15 0:00:00,12,ca5508a0-338b-45f5-bf96-ca7a928390c0
87,129629,1,0,2014-05-10 0:00:00,27,09aea16a-23c3-4d55-a700-6f1d131fd716
88,78455,2,0,2014-01-11 0:00:00,14,0abe4b2f-525d-4ddb-9c91-491996cf4319
89,88621,2,2,2014-05-17 0:00:00,7,3a478f8a-a870-486c-9898-412cbf8ecf40
90,35320,1,2,2014-09-24 0:00:00,32,1e04496e-8d5e-4c1c-8477-560164c19dbb
91,151901,0,1,2014-01-26 0:00:00,30,86987d19-5097-4156-9ba8-02520ff91836
92,99498,0,2,2014-03-28 0:00:00,5,24e4eba2-332e-405a-8cb0-c66fc2682a9c
93,92607,2,0,2014-04-06 0:00:00,32,3a13f537-391a-44b5-8ec6-6c5961aca8c2
94,125523,0,0,2014-12-29 0:00:00,17,e1795b71-f1e7-4cdd-8b98-ca0fc45bd690
95,53252,2,0,2014-08-12 0:00:00,23,00b1d102-a8a5-4072-857e-c1bc6c785190
96,67523,0,1,2014-01-01 0:00:00,26,95cbe77b-a9b2-4bc3-8970-0833a375ec8f
97,75270,2,0,2014-06-20 0:00:00,10,7ecbb432-4f36-437f-b165-5bca86e3b53c
98,137747,0,1,2014-08-06 0:00:00,25,788eb000-d30d-400a-ad9d-49f6c491ed2b
99,38152,0,2,2014-01-02 0:00:00,15,06e246b8-a63b-47b7-9cfd-e4064ad35e0f
100,34797,2,2,2014-09-14 0:00:00,15,4a5a619c-47f1-4592-baed-526e0b4dda8e
101,78905,0,0,2014-07-01 0:00:00,27,68dec340-e78e-4e81-b0d9-d22af2eb68aa
102,152248,2,1,2014-10-19 0:00:00,31,894ba8aa-ed3e-42ea-a590-47efc0c7dab8
103,88855,2,0,2014-12-28 0:00:00,26,ae10b441-9be2-487c-be35-e542494c90e8
104,150974,2,1,2014-01-15 0:00:00,25,41bcec50-2d6c-45bf-8229-8e80f812e5cc
105,49859,1,0,2014-06-29 0:00:00,6,a287fc66-c5b6-4e4c-aa44-ffb14f896a35
106,60006,0,0,2014-02-08 0:00:00,21,da87be75-47c9-4bd3-a8bb-2de10673340f
107,145565,1,2,2014-07-09 0:00:00,30,961092a0-031d-4edc-aed2-e04f6dcfdb21
108,26409,0,2,2014-09-14 0:00:00,23,5686cd10-9898-4af5-8ee7-dca36dea586a
109,109959,0,2,2014-03-01 0:00:00,1,5f6a3636-1832-4976-9c60-acdd7424b2be
110,45496,1,0,2014-06-11 0:00:00,21,fcac721e-ba9b-404a-bcae-08308ff4d13b
111,179599,0,2,2014-02-10 0:00:00,13,de9e4bb8-d268-4e50-8787-1d6694aec37f
112,100495,2,0,2014-11-03 0:00:00,20,406a8486-d2a6-460d-9257-9494a45ef79a
113,152789,1,2,2014-07-04 0:00:00,23,990fbadd-d9c0-4894-9bc8-607171a0f5b9
114,158971,0,2,2014-10-01 0:00:00,23,6566c91a-589a-4272-858e-38bb5f1c542b
115,145562,1,1,2014-01-23 0:00:00,20,23519ed8-e8ed-4aeb-92a7-400e6632062f
116,111430,1,2,2014-09-16 0:00:00,31,6f55b0a3-35fd-45f2-a78d-ceeb80be7e3e
117,123181,1,0,2014-12-06 0:00:00,8,5843e852-a888-43b0-9f2c-7554f4f07292
118,130492,1,2,2014-06-30 0:00:00,18,0326bdaa-2cd6-4d57-aca0-aa384f6e4cb1
119,59154,1,1,2014-02-15 0:00:00,4,43be3467-43af-44f7-becb-df0e3728772c
120,46141,1,2,2014-09-08 0:00:00,18,df1d7a01-d286-49f5-b0a7-57a3810d413c
121,44868,0,0,2014-12-23 0:00:00,22,fc91b216-dab5-4cac-bec7-3dd6108057f1
122,160091,1,0,2014-08-20 0:00:00,30,ad88cbb7-59ce-4f91-ab28-acbefa50221b
123,42812,2,2,2014-12-16 0:00:00,6,a453a94d-396b-4005-ad26-f9faa9cbe5b8
124,80167,2,1,2014-10-20 0:00:00,15,5efe0364-72da-406b-9499-7509dae730bf
125,17653,0,0,2014-09-29 0:00:00,23,5623d373-8e5f-4396-9990-8cd9b260d13d
126,136855,1,1,2014-07-29 0:00:00,8,918997a7-f44a-4eb5-a526-6afdd036ad74
127,75780,2,2,2014-05-26 0:00:00,28,03bae2aa-7ac1-45e6-932d-e6d2ebf274e6
128,160431,0,0,2014-09-02 0:00:00,24,3b6d6c9e-c66f-4fe5-b42f-d889a411d3e5
129,153688,2,1,2014-02-12 0:00:00,25,c69bc896-038c-4c43-9420-4e63dc689d05
